; --- TAGS ---
; reminder: this is comment starting with a ; - in case you need to flag changes, etc...
; internal formatting is a mix of Markdown plus html (for <br> etc)
; **bold**
; _italic_
; [internal link text](#sometag)
; [external link text](http://www.gunnerkrigg.com)
113	A number that appears in many places in the Court [_{W}_](http://gunnerkrigg.wikia.com/wiki/113)
Bridge 	The Annan Bridge leads from Gunnerkrigg Court across the [Annan Water](#annan) to [Gillitie Wood](#gillitie) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Annan_Bridge)
Brinnie 	Sultry school friend of [Surma](#surma), [Anja](#anja), [Donny](#donny), [Eglamore](#eglamore) _&amp; co._ Probably Brynhildr, the Valkyrie [_{W}_](http://gunnerkrigg.wikia.com/wiki/Brinnie)
BrokenMan	[Coyote's](#coyote) story name for [Anthony Carver](#tony) after his return to [Gunnerkrigg Court](#court) and [Annie's](#annie) life
Bud 	Husband of [Lindsey](#lindsey); boys' [dorm](#subdorm) monitor [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bud)
Bugsy 	Teacher Lady, or Teach. [Foley](#foley) teacher, would rather be sleeping
Buzz 	The buzzing in [Zimmy's](#zimmy) head when the stimuli get too much
Buzzer 	Bug shaped device for fooling the court's student tracking system
Caduceus	"Herald's staff" borne by Hermes/[Mercury](#mercury), symbol of commerce
Camcorder	ancient 20th century technology records moving images on magnetic tape
Canvey 	a [Canvey Island Monster](https://en.wikipedia.org/wiki/Canvey_Island_Monster)
Cards 	A pack of playing cards
Castle 	Where royalty live. Even space alien royalty
ChandlerBot	A reference to Chandler in _Friends_ 
Chemicals	May be used to perform terrifying skills of Chemistry or Alchemy
CherryTree	Comes as advertised; lives in a [Habitat](#habitat)
Chester 	One of the school Houses [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Chester_House)
Chickcharney	See [Hardwick &amp; Little's Bestiary](#hardwicklittlebestiary), p65 [_{W}_](http://gunnerkrigg.wikia.com/wiki/Chickcharney)
Circus 	Creepy and filled with clowns
CityFace	A pigeon [_{W}_](http://gunnerkrigg.wikia.com/wiki/City_Face)
Classroom	Where they have classes
Clowns 	Creepy, no-one likes them
Computer	You're using one right now. The court keeps student records, and many other things on computers
Cookie 	Cookie Monster aka Lily Cooke is an enthusiastic friend of [Parley](#parley) along with [January](#jan) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Lily_Cooke)
Court 	Gunnerkrigg Court, a mysterious institution that includes a boarding school [_{W}_](http://gunnerkrigg.wikia.com/wiki/Gunnerkrigg_Court)
CourtHall	A large important hall for meetings
CourtLogo	Gunnerkrigg Court logo (for the school); appears on detention slips and official school letters
CourtStaffSymbol	a line with a dot below each end, all in red; mostly appears in a 'security' context
CourtSymbol	The symbol [Annie's](#annie) [Blinker Stone](#blinkerstone) makes; has a [Bismuth Symbol](#bismuthsymbol) within it
Courtyard	A courtyard near the [library](#library)
Cover 	A chapter cover [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Chapter_Covers)
Coyote 	Trickster god; the creator of all; he does not exist, he says [_{W}_](http://gunnerkrigg.wikia.com/wiki/Coyote)
CoyoteStories	Stories told about or by [Coyote](#coyote)
CoyoteTooth	It's a tooth, or is it? [_{W}_](http://gunnerkrigg.wikia.com/wiki/Coyote's_Tooth)
CreatorGlyph	Mark of the [robots'](#robots) creator: now associated with [Kat](#kat)
Creeper 	Someone who is creeping
CruiseLiner	a large, ocean-going, hotel ship
Crying	When salty water with enzymes comes out of one's lacrimal ducts; also, a sign of sadness
CrystalBall	A crystal ball is traditionally used for scrying, future-telling or other Gypsy/Roma past-times
CurlyFae	'this girl too' -- short curly blue hair, red dot below right eye [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Fairies)
CwnAnnwn	the Cŵn Annwn, spectral hounds of Annwn (the underworld), black dogs/[psychopomps](#psychopomps) of Wales; red ears
DanielRSchiff	[Rey's](#rey) victim [_{W}_](http://gunnerkrigg.wikia.com/wiki/Daniel_R_Schiff)
DeathsHead	admissions clerk to the [Realm of the Dead](#rotd), a 2 dimensional skull
Desert 	No rain in here. Where [Coyotes](#coyote) live, sometimes
Diego 	creepy robotics expert of the Court's early days; creator of the original [robots](#robots) (but not the TicTocs); and referred to as "creator" by them. Implicated in the [Jeanne](#jeanne) affair [_{W}_](http://gunnerkrigg.wikia.com/wiki/Diego)
DiegoBot	One of the original [robots](#robots) created by Diego many years ago [_{W}_](http://gunnerkrigg.wikia.com/wiki/Old_Robot)
DiegoStudy	Home of all things ancient [robot](#robots)
Dirty 	What you become when you don't wash for a while
Divide 	The division between the Court and the [Forest](#gillitie) caused by [Coyote](#coyote)
Dolls 	[Kat](#kat) probably only has action figures she thinks are hot: _i.e._ David Duchovny (Mulder), Batman and Hellboy
DonlanHouse	Home of the Donlan family: [Anja](#anja), [Donny](#donny), [Kat](#kat)
DonlanSymbol	A symbol found in the Donlan house and in [Anja](#anja) &amp; [Donny's](#donny) program; resembles the alchemical symbols for silver and ether
Donny 	Donald Donlan, [Kat's](#kat) father [_{W}_](http://gunnerkrigg.wikia.com/wiki/Donald_Donlan)
DoorBot 	A cranky old man [robot](#robots) who guards the door to the [RobotHQ](#robothq) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Doorbot)
Dorm 	Living quarters at school
Dracula 	the stereotypical [vampire](#vampire) count 
DrDisaster	Dr Randy Disaster sends the students on hologram simulation adventures and woos [Jones](#jones)! [_{W}_](http://gunnerkrigg.wikia.com/wiki/Randy_Disaster)
Drone 	a small, remotely guided flying machine
Dryad 	Folk who can control and travel through the trees themselves, [Marcia](#marcia) is one
Earth 	Ancient element; the planet on which we live; the great mother and life-giver
Ectoplasm	material of the Etherium which may be moulded by the Will into Form
Eglamore	Sir James Eglamore/Jimmy/Jim/James/Eggers. Big fellow with [sword](#sword) [_{W}_](http://gunnerkrigg.wikia.com/wiki/James_Eglamore)
EglamoreKnife	A switchblade/flick knife present that [Eglamore](#eglamore) treasures
EglamoreOffice	Where [Eglamore](#eglamore) hangs out; contains [swords](#sword), [armour](#armour), a [Tiki](#tiki) and a [mask](#mask) among other things
Employees	Miscellaneous Court employees; includes security staff, gardeners, scientists, [power station](#powerstation) operators and even mysterious dudes who take [Gamma](#gamma) and [Zimmy](#zimmy) from [Birmingham](#birmingham) to the Court [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Court_Employees)
EnigmaronLair	Where the [Enigmarons](#enigmarons) from a [Dr. Disaster](#drdisaster) [simulation](#simulation) hang out
Enigmarons	Bad guy aliens in a [Dr Disaster](#drdisaster) [simulation](#simulation)
Etherics	Manipulation of the Ether -- "magic" [_{W}_](http://gunnerkrigg.wikia.com/wiki/Etheric_Sciences)
EthericShield	An [Etheric](#etherics)/magical shield
Etherium	The world/realm of the Ether [_{W}_](http://gunnerkrigg.wikia.com/wiki/Etheric_Sciences)
EtherSymbol	A symbol for phlogiston or ether
EugeneGould	Explorer after whom a psychic challenge is named; once won by [Parley's](#parley) father)
EyeCrossed	A crossed out eye that is a complex warding sign, made by [Anja](#anja) and [Donny](#donny) to bind [Rey](#rey)
EyeGunk 	[Etheric](#etherics) eye-gunk possessed by [Zimmy](#zimmy) and others affected by [Zimmingham](#zimmingham)
Eyes 	When seeing is important
EyeSymbol	An eye symbol associated with [Coyote](#coyote) and [Gillitie](#gillitie)
FacelessPeople	People without faces who [Zimmy](#zimmy) sometimes sees
Fairies 	[Gillitie](#gillitie) Wood is full of them [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Fairies)
FencingHall	Where [sword](#sword)-fighting, fencing, sparring are taught
Fight 	When two people have a disagreement, violently
Filler 	Not a mainstream story comic
FinalRecords	A part of the [Realm of the Dead](#rotd)
Fire 	An ancient element; may cause [smoke](#smoke) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Fire)
FireElemental	A personification of [fire](#fire), represented with a [FireSpike](#firespike) on their head
FireHose	A hose to put out a [fire](#fire)
FireSpike	A spiky [fire](#fire) crown associated with [Fire Elementals](#fireelemental)
FireSymbol	The alchemical symbol for [fire](#fire) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Fire)
Fish 	Aquatic animal, fish live in [water](#water) and breathe through gills
FishFae 	'a fish guy?' -- concentrating on making himself handsome, former fish
Flashback	Things that happened in the past
FlowerFae	'this one' -- purple hair, green bar under left eye [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Fairies)
FlowerHeadband	AKA het-band. Pink flower headband, bestows +5 straightness upon the wearer (-5 for a male)
Flowers 	Colourful plants that grow from the ground. Often given as gifts.
Flying 	Moving through the air, like superman
Foley 	One of the school Houses; home to [Red](#red), [Blue](#blue), [Shadow](#shadow) and some [fairies](#fairies) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Foley_House)
ForestSymbol	The symbol [Gillitie](#gillitie) uses to message; has an "eye" within it
Founding	The founding of the court. Involves the [Seed Bismuth](#seedbismuth)
FriendsDorm	Year 10's dorm block is modelled on the apartment from _Friends_. See [p.1485](http://www.gunnerkrigg.com/?p=1485). Annie & Kat have apartment #20; Rey, a Clanger robot and a Joey robot are across the hall in #19; Margo and Paz are the floor below, presumably #18.
Gamma 	Gamma Czarnecki, a quiet girl from Poland, who only speaks Polish; friend of [Zimmy](#zimmy) with whom she has a telepathic link and who she met in [Birmingham](#zimmingham); a Greek letter &Gamma;/&gamma; equivalent to our letter "G" [_{W}_](http://gunnerkrigg.wikia.com/wiki/Gamma)
Ghosts 	sometimes haunt [mandolins](#mandolin)
Gillitie	Gillitie Wood, where the wild things are, _a.k.a._ The Forest [_{W}_](http://gunnerkrigg.wikia.com/wiki/Gillitie_Wood)
Glass 	A transparent silicon oxide substance used to make windows and the water bearing vessels also called "glasses"
GlassFiber	Strands of glass used in insulation. Exposure causes itchiness and respiratory problems.
God 	What is god?
Gol-shogeg	Big worm slug monster
GoldSymbol	Alchemical symbol for gold, or sometimes for the Sun (see also [SunSymbol](#sunsymbol))
GolemHeart	The core that makes the [robot](#robots) "work", if you will. Perhaps [etheric](#etherics)?
GoodHope	Good Hope Hospital is where [Surma](#surma) was before she died [_{W}_](http://gunnerkrigg.wikia.com/wiki/Good_Hope_Hospital)
GraveYard	a field of the dead
GreatSecret	[Coyote's](#coyote) Great Secret.
GreenArrow	Green arrow with horseshoe tip. Created by [Diego](#diego), shot by [Steadman](#steadman), hit [Jeanne's Lover](#jeanneslover) swimming the [Annan](#annan) to her
GreenFae	'this other one' -- long straight green hair [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Fairies)
Grounds 	The grounds/gardens of Gunnerkrigg Court [_{W}_](http://gunnerkrigg.wikia.com/wiki/Gunnerkrigg_Court)
GroundSymbol	The electronic symbol for ground
GuestComic	Guest comic strips from end of Year 7/Book one
GurtDog 	A black dog/[psychopomp](#psychopomps) of Somerset; protects children and travellers
Gym 	School gymnasium
Gytrash 	A black dog/[psychopomp](#psychopomps) of Northern England; mentioned in _Jane Eyre_ by Charlotte Brontë
Habitat 	An environmental decontamination habitat
HabitatSymbol	The sign for an artificial habitat
HairdresserBot	a [robot](#robots) that cuts hair; lots of arms [_{W}_](http://gunnerkrigg.wikia.com/wiki/Scissorbot)
Hall 	Function hall [113](#113), a hall in the school
Hammer 	A tool for driving nails into things or beating things into shape
HaloCog	indicative of Kat's status amongst the robots
Hand	[Tony](#tony) has an artificial/prosthetic hand in later life
HardwickLittleBestiary	Reference on mystical creatures [_{W}_](http://gunnerkrigg.wikia.com/wiki/Hardwick_and_Little's_Bestiary)
HarryPotter	Deserves to be taped to a flag pole for being a ponce
Headmaster	Jonathan Llanwellyn, [Janet's](#janet) father; surprisingly grey, apathetic man, with bad posture [_{W}_](http://gunnerkrigg.wikia.com/wiki/Headmaster)
Heart 	A heart, or heart sign, symbol, glyph or character; either the body's blood pump, the core of a mechanism or a symbol of love
HedgehogFae	'and him' -- dreads, former hedgehog
Hetty	a small animate devil doll inhabited by a shrimp-like spirit, victimising [Adam](#adam) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Hetty)
HettySymbol	sometimes visible on [Hetty's](#hetty) forehead [_{W}_](http://gunnerkrigg.wikia.com/wiki/Hetty#Symbol)
Hexagram	Means the art of alchemy, the quintessence or "fire-water"/alcohol; the Jewish Kingdom (Star of David)
Homework	School work done outside class hours
Horsebot	H model [robot](#robots) in a horse frame, as motive power for carriages, carts etc [_{W}_](http://gunnerkrigg.wikia.com/wiki/H_Model)
Hospital	The hospital/infirmary within the court
Hyland 	[Jack's](#jack) father and classmate of [Eglamore](#eglamore), [Donny](#donny), [Anja](#anja) and [Surma](#surma). Not very nice to [Anja](#anja) or [Surma](#surma). [_{W}_](http://gunnerkrigg.wikia.com/wiki/Hyland)
Iota 	Greek letter, speculated to symbolise [Jack](#jack) or [Jenny](#jenny) when it appeared in a treatise with [Gamma](#gamma) and [Zeta](#zeta)
Irial 	[Kamlen's](#kamlen) [Anwyn](#anwyn) love
Jack 	Jack [Hyland](#hyland), in the same year as [Annie](#annie) and [Kat](#kat) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Jack_Hyland)
Jackalope	appears as a rabbit with stub horns, a denizen of [Gillite Wood](#gillitie); friend of [GreenFairy](#greenfairy); wishes to become human
JackOLantern	A carved, decorative pumpkin used for Hallowe'en/Halloween as a lantern
Jan	January, curt friend of [Parley](#parley) [_{W}_](http://gunnerkrigg.wikia.com/wiki/January)
Janet	Janet Llanwellyn; fierce daughter of the [Headmaster](#headmaster); dating [William Winsbury](#winsbury) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Janet_Llanwellyn)
Jeanne	Vengeful ghost and guardian of the [Annan](#annan) waters, originally a fencer belonging to the court. _"She died and we did nothing"_ [_{W}_](http://gunnerkrigg.wikia.com/wiki/Jeanne)
JeannesLover	Jeanne's [Anwyn](#anwyn) [forest](#gillitie) lover, name as yet unknown [_{W}_](http://gunnerkrigg.wikia.com/wiki/Anwyn#Jeanne.27s_lover)
Jem	a credulous young [Anwyn](#anwyn)
Jenny	goth cruise-companion of [Jack's](#jack), apprentice witch
JoeyBot	A reference to Joey Tribbiani in _Friends_ 
John	John Sullivan [[ref](http://gunnerkrigg.proboards.com/thread/361/tom-2?page=30&scrollTo=18295)] _a.k.a._ [Sullivan's John](http://www.gunnerkrigg.com/art/john.jpg). A musical student, plays strings _e.g._ guitar, [mandolin](#mandolin). Dating [Margo](#margo) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Sullivan's_John)
Jokes	Ha, ha.
JollyElfsberry	A prancing elf, and alias of [Coyote](#coyote)
Jones	A mysterious court lady; a name of [Wandering Eye](#wanderingeye) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Jones)
JonesFootprints	Ancient footprints that appear to belong to [a human](#jones); how can this be?
Juliette	[Employee](#employees) of the court, is qualified to run the [Ether station](#powerstation) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Juliette)
JumpersPool	waterfall into a small lake in an open part of Gillitie
JupiterMoonMartians	Friendly aliens in one of [Dr Disaster's](#drdisaster) [simulations](#simulation)
Kamlen	[Anwyn](#anwyn) boy about [Annie's](#annie) and [Kat's](#kat) age [_{W}_](http://gunnerkrigg.wikia.com/wiki/Anwyn#Kamlen)
Kat	Katerina Donlan, the scientifically inclined best friend of [Annie](#annie), also close to [Paz](#paz); [Anja](#anja) & [Donny](#donny) Donlan's daughter, sometimes called Katja by her mother [_{W}_](http://gunnerkrigg.wikia.com/wiki/Katerina_Donlan)
KatsHomework	A thing that [Annie](#annie) copies
KatsWorkshop	Where [Kat](#kat) indulges her hobbies; by the West Canals; has a hidden room in the bottom [_{W}_](http://gunnerkrigg.wikia.com/wiki/Kat's_Storage_Room)
KershawHouse	Where [Aly](#aly) and his parents Mr and Mrs [Kershaw](#kershaws) used to live.
Kershaws	[Aly's](#aly) parents. [birds](#birds).
Ketrak	[Psychopomp](#psychopomps) to the insects! [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Ketrak)
Khepi	Head of an [Anwyn](#anwyn) family [_{W}_](http://gunnerkrigg.wikia.com/wiki/Anwyn#Khepi)
KhepiHouse	Where Khepi and family live in [Gillitie Forest](#gillitie), and [Annie](#annie) spends a summer
Kiss	Smooshing, pashing, making out, a peck on the cheek, first base, kissing
Knight	A traditional warrior and military leader who is part of the landed gentry class; often trained in swordsmanship; a chess piece; _e.g._ [Eglamore](#eglamore) and [Sir Young](#siryoung).
Labyrinth	Not quite a maze. Home to [Basil the Minotaur](#basil)
Lake	A large, still body of [water](#water); where the [power station](#powerstation) is
Lamet	a former [psychopomp](#psychopomps)
Landscape	A view of a wide expanse of land
LaserCow	A [robotic](#robots) cow that mows the lawns with its laser eyes. Also, awesome. All go by the name Elsie [_{W}_](http://gunnerkrigg.wikia.com/wiki/Laser_Cows)
Lasers	Zap! Awesome!
Latin	A dead language, some things are written in it
LaundryList	A seagull
LeadSymbol	The alchemical symbol for lead; associated with protectors of the court such as [Eglamore](#eglamore) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Lead_(alchemy))
LeanDog	A black dog/[psychopomp](#psychopomps) for Tring, Hertfordshire; red eyes.
Letter	A written communication
Librarian	guardian of the library of the [Realm of the Dead](#rotd)
Library	full of shelves of books for reference. Also includes [robot](#robots) parts
LighterFuel	notoriously flammable; accelerant
Lightning	Clouds and electricity... ZZZAAAPP!
Lindsey	[dorm](#subdorm) monitor, PhD Structural Engineering, accredited couples therapist, Merostomatozon; wife of [Bud](#bud) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Lindsey)
LindseyComputer	[Lindsey's](#lindsey) computer translates for her
Lockpicks	[Annie](#annie) has some lock-picks which she stores in the WolfToy/[Rey's](#rey) body
LoveLetter	A written expression of love; may be anonymous
MakeUp	Cosmetics to define or enhance appearance, particularly of the face, eyes and mouth
Mallt-y-nos	Matilda of the Night, Night Malt; Welsh [psychopomp](#psychopomps)/crone/witch; rides with the [Cŵn Annwn](#cwnannwn) (hounds of the underworld) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Mallt-y-nos#Mallt-y-nos)
Mandolin	stringed musical instrument; sometimes they're haunted
Marble	A shining sphere of unmelting ice; trapped inside were brilliant colours from the rarest flowers.
Marcia	Marcia Sutton, a [dryad](#dryad) and keeper of [Young's Park](#youngspark) with her husband, [Bob](#bob) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Marcia_Sutton)
Margo	A student who enjoys singing. Artist. Dating [John](#john) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Margo)
MarineFae	'and her' -- aquamarine hair, vertical green bar on forehead
Martin	A young boy who has "lost his way" and whom young [Annie](#annie) needs to help [_{W}_](http://gunnerkrigg.wikia.com/wiki/Martin)
MartinLizard	A lizard that [Martin](#martin) likes and shows [Annie](#annie). Bites.
MartinRoom	[Martin's](#martin) hospital/bed room
Mask	A cover to hide face, appearance, emotions
Matches	Playing with matches can start [fires](#firesymbol)
Matt	Student and classmate of [Annie](#annie) and [Kat](#kat). Has met [Chang'e](#moongirl) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Matt)
Mercury	A poisonous liquid metal; otherwise known as quicksilver; Mercury or Hermes was the son of Apollo, the trickster messenger god of medicine and commerce; [psychopomp](#psychopomps) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Hermes)
MercurySymbol	The alchemical symbol for [mercury](#mercury); appears on [Rey's](#rey) spirit form [_{W}_](http://gunnerkrigg.wikia.com/wiki/Mercury_(alchemy))
MetalGearSolid	A computer game that [Kat](#kat) likes.
Mice	Small rodents, common pests, and also in [labs](#animallab).
Microsat5	[Tony's](#tony) payload delivery satellite
ModdeyDhoo	One of the Black Dogs, a [psychopomp](#psychopomps) from the Isle of Man [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Moddey_Dhoo)
Monster	A scary creature; some of them live in the forest
Montgomery	A [Seraph](#seraph) [robot](#robots)
Monument	A physical tribute to a well respected person
Moon	Our most ancient satellite!
MoonGirl	Chang'e ([ref](http://www.gunnerkrigg.com/?p=920)), a deity or personification of the Moon [_{W}_](http://gunnerkrigg.wikia.com/wiki/Chang'e)
MoonPrint	Thumbprint on the moon
Mort	A [ghost](#ghosts) who haunts part of the school
MossOgre	a [forest](#gillite) [monster](#monster) which is not fire-resistant
MrThorn	Mr Thorn, Court protector and games teacher to [Annie](#annie) and [Kat's](#kat) parents' generation [_{W}_](http://gunnerkrigg.wikia.com/wiki/Mr._Thorn)
Music	Everyone loves music!
Muut	Egyptian [psychopomp](#psychopomps) (escorts the dead to the afterlife) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Muut)
NancyDrew	A series of books featuring a teenage girl solving mysteries
NapoleonHat	A fitting hat for [Reynardine](#rey) the Great!
Neith	Egyptian goddess of war; [psychopomp](#psychopomps) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Neith)
Nevihta	Rogat Orjak to [Sir Young](#siryoung), first protector of the court [_{W}_](http://gunnerkrigg.wikia.com/wiki/Rogat_Orjak#Nevihta)
Nigel	friend of [Morty](#mort), brother of [Betty](#betty), WWII
Nurse	A person working at the [TransferClinic](#transferclinic). Dressed in green hospital clothing. Vertical slit eyes. Not a transferee. From Cardiff.
Observatory	A massive telescope
Ocean	A whole bunch of [water](#water)
Octopus	A flying / floating octopus
Ogee	A city fairy with the power of rusting, who hangs out with a magpie called [BobEyes](#bobeyes). Sister of [Torus](#torus)
OldCourt	Parts of Gunnerkrigg Court that used to be in [Gillitie Forest](#gillitie) before the division by [Coyote](#coyote).
Ooze	What [Martin's](#martin), lizard turns into when it hits the floor
Orb	The _Globus cruciger_, a Christian symbol of power, wielded by monarchs and Christ
PadComp	a slate/tablet/pad computer or interface device seen in the [Transfer Clinic](#transferclinic)
